Maintaining Region,Owning Region,County,Municipality,Device Number,Main Route,Intersecting Route,Location,Device Type,Device Purpose,Device Priority,Maintenance Responsibility,Latitude (UTM Y [Meters]),Longitude (UTM X [Meters])
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-35B,I 087 SB,I 087 SB Rollover Sign,I-Rte 87 SB rollover sign (3rd one heading SB),BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728268.51,595405.72
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-30B,I 087 SB,Trucks Reduce speed,I-Rte 87 SB trucks reduce speed (1 st one heading SB),BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728289.27,595414.97
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-33B,I 087 SB,I 087 SB Rollover Sign,I-Rte 87 SB truck reduce speed sign (2nd one heading SB),BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728268.61,595405.73
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-31B,I 087 SB,I 087 SB Rollover Sign,I-Rte 87 SB  rollover sign (1st one heading SB),BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728271.65,595407.16
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-32B,I 087 SB,I 087 SB Internally lit sign,I-Rte 87 SB Internally Lit Sign,BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728269.75,595406.29
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-34B,I 087 SB,I 087 SB Rollover Sign,I-Rte 87 SB  rollover sign (2nd one heading SB). (On left side),BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728268.51,595405.72
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-6A,I 090,Everett Rd,I-Rte 90 EXIT 5 EB Ramp @ EVERETT RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4726224.41,599518.17
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-5A,I 090,Everett Rd,I-Rte 90 EXIT 5 WB Ramp @ EVERETT RD (also 6A),3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4726319.81,599571.7
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-3A,I 090,Washington Ave,I-Rte 90 EXIT 2 EB Ramp & SUNYA @ WASHINGTON AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727323.97,596338.24
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-2N,I 090,Patroon Island Br Nav Lights,Rte I-90 @ PATROON ISLAND BR. NAVIGATION LIGHT,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4724383.2,604162.25
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-29B,I 090 EB,I 087 NB Rollover Sign,I-Rte 90 EB TO I-RTE 87 NB rollover sign ( right hand side),BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727813.19,595329.25
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-21B,I 090 EB,I 787,I-Rte 90 EB @ I-RTE 787,BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4724904.91,603450.36
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-28B,I 090 EB,I 087 NB Rollover Sign,I-Rte 90 EB TO I-RTE 87 NB rollover sign ( left hand side),BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727813.02,595328.75
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-20B,I 090 WB,I 787,I-Rte 90 WB @ I-RTE 787,BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4724415.05,604135.63
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L22,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L22 (NNE) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727632.81,595909.68
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L26,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L26 (NEEEE) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727585.99,595954.68
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L25,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L25 (NEEE) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727599.16,595931.63
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L24,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L24 (NEE) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727609.4,595917.36
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L23,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L23 (NE) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727617.82,595907.12
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L21,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L21 (NNW) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727650.01,595889.56
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L20,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L20 (SEEEE) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727562.94,595947.72
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L19,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L19 (SEEE) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727580.14,595922.12
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L18,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L18 (SEE) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727591.11,595903.09
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L17,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L17 (SE) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727598.79,595892.48
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L16,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L16 (SSE) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727597.69,595883.7
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L15,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L15 (SSSE) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727582.7,595872.73
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L14,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L14 (SSSW) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727590.74,595852.98
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L13,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L13 (SSW) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727601.72,595856.63
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L12,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L12 (SW) 250W,STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727620.67,595853.75
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-258 L11,I 090 WB,Fuller Rd,Rte I 90 WB OFF @ Fuller Road ROUND ABOUT LIGHTING L11 (NW) 250W (also L12),STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727643.07,595869.56
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-27B,I 787 NB,Rensselaer Ramp,Rte I-787 NB @ RENSSELAER Ramp,BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721461.84,602157.89
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-19B,I 787 NB,US 20 WB Ramp,Rte I-787 NB @ RTE 20 WB Ramp Exit 4,BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721722.21,602302.39
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-256,I 787 NB,RR Track Lighting,Rte I 787 @ RR Track Lighting (87) 250 Watt,STREET LIGHT,RR TRACK LIGHTING,SELECTIVE RESPONSE,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722048.35,602366.45
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-128,I 787 SB,Broadway,Rte I-787 SB & MADISON AVE @ BROADWAY,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722048.35,602366.45
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-22B,I 787 SB,Clinton Ave,Rte I-787 SB @ CLINTON AVE.,BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4723443.19,603037.27
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-206,NY 085,Krumkill Rd,Rte 85 @ KRUMKILL RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4724095.19,596840.48
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-98,NY 155,Washington Ave Ext,Rte 155 (Karner Rd) & MADISON AVE @ WASHINGTON AVE EXT,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4729524.63,592415.68
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-265,NY 910D,Fuller Rd,EB WASHINGTON  AVE.  @ FULLER RD Roundabout signal,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727324.85,595782.88
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-175,NY 910D,Springsteen Rd,WASHINGTON AVE EXT (910D) @ SPRINGSTEEN & X-GATES COMMONS,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727708.69,594207.72
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-169,NY 910D,Italian Center,WASHINGTON AVE EXT (910D) @ ITALIAN CENTER,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728844.02,593283.78
